id,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD)
2515,Intel Core i5-4570R @ 2.70GHz,"4,578",2177,NA,NA
2516,Intel Core i5-4570S @ 2.90GHz,"5,017",2100,25.22,$198.95*
2517,Intel Core i5-4570T @ 2.90GHz,"3,233",2589,21.56,$149.95*
2518,Intel Core i5-4570TE @ 2.70GHz,"3,083",2650,9.02,$341.99*
2519,Intel Core i5-4590 @ 3.30GHz,"5,373",2022,118.29,$45.42
2520,Intel Core i5-4590S @ 3.00GHz,"5,136",2075,80.90,$63.48*
2521,Intel Core i5-4590T @ 2.00GHz,"4,065",2305,31.28,$129.95*
2522,Intel Core i5-460M @ 2.53GHz,"1,312",3721,10.10,$129.95*
2523,Intel Core i5-4670 @ 3.40GHz,"5,500",2000,99.40,$55.33*
2524,Intel Core i5-4670K @ 3.40GHz,"5,577",1976,111.54,$50.00*
2525,Intel Core i5-4670K CPT @ 3.40GHz,"5,034",2097,NA,NA
2526,Intel Core i5-4670R @ 3.00GHz,"5,233",2056,18.96,$276.00*
2527,Intel Core i5-4670S @ 3.10GHz,"5,247",2051,24.63,$213.00*
2528,Intel Core i5-4670T @ 2.30GHz,"4,456",2198,17.20,$259.02*
2529,Intel Core i5-4690 @ 3.50GHz,"5,575",1979,107.22,$52.00
2530,Intel Core i5-4690K @ 3.50GHz,"5,697",1944,105.50,$54.00
2531,Intel Core i5-4690S @ 3.20GHz,"5,469",2008,91.17,$59.99*
2532,Intel Core i5-4690T @ 2.50GHz,"4,587",2174,NA,NA
2533,Intel Core i5-470UM @ 1.33GHz,782,4271,NA,NA
2534,Intel Core i5-480M @ 2.67GHz,"1,324",3713,16.42,$80.60*
2535,Intel Core i5-5200U @ 2.20GHz,"2,505",2930,8.91,$281.00*
2536,Intel Core i5-520M @ 2.40GHz,"1,730",3422,17.30,$100.00*
2537,Intel Core i5-520UM @ 1.07GHz,908,4130,NA,NA
2538,Intel Core i5-5250U @ 1.60GHz,"2,448",2963,4.62,$529.99*
2539,Intel Core i5-5257U @ 2.70GHz,"2,828",2763,NA,NA
2540,Intel Core i5-5287U @ 2.90GHz,"3,078",2652,NA,NA
2541,Intel Core i5-5300U @ 2.30GHz,"2,714",2813,9.36,$289.99*
2542,Intel Core i5-5350U @ 1.80GHz,"2,584",2885,NA,NA
2543,Intel Core i5-540M @ 2.53GHz,"1,795",3381,25.64,$70.00*
2544,Intel Core i5-540UM @ 1.20GHz,"1,002",4034,NA,NA
2545,Intel Core i5-5575R @ 2.80GHz,"5,098",2086,NA,NA
2546,Intel Core i5-560M @ 2.67GHz,"1,903",3304,27.21,$69.95*
2547,Intel Core i5-560UM @ 1.33GHz,"1,015",4021,NA,NA
2548,Intel Core i5-5675C @ 3.10GHz,"5,689",1946,63.21,$90.00
2549,Intel Core i5-5675R @ 3.10GHz,"5,567",1982,NA,NA
2550,Intel Core i5-580M @ 2.67GHz,"1,963",3260,19.64,$99.95*
2551,Intel Core i5-6198DU @ 2.30GHz,"3,091",2647,NA,NA
2552,Intel Core i5-6200U @ 2.30GHz,"2,994",2689,NA,NA
2553,Intel Core i5-6260U @ 1.80GHz,"3,193",2605,6.40,$499.00*
2554,Intel Core i5-6267U @ 2.90GHz,"3,369",2526,NA,NA
2555,Intel Core i5-6287U @ 3.10GHz,"3,801",2369,12.50,$304.00*
2556,Intel Core i5-6300HQ @ 2.30GHz,"4,688",2152,NA,NA
2557,Intel Core i5-6300U @ 2.40GHz,"3,214",2598,NA,NA
2558,Intel Core i5-6350HQ @ 2.30GHz,"4,255",2251,13.90,$306.00*
2559,Intel Core i5-6360U @ 2.00GHz,"3,090",2648,NA,NA
2560,Intel Core i5-6400 @ 2.70GHz,"5,173",2069,NA,NA
2561,Intel Core i5-6400T @ 2.20GHz,"4,267",2245,26.67,$159.99*
2562,Intel Core i5-6402P @ 2.80GHz,"5,355",2027,72.34,$74.02
2563,Intel Core i5-6440EQ @ 2.70GHz,"5,389",2020,NA,NA
2564,Intel Core i5-6440HQ @ 2.60GHz,"5,017",2101,NA,NA
2565,Intel Core i5-6442EQ @ 1.90GHz,"4,483",2194,17.93,$250.00*
2566,Intel Core i5-650 @ 3.20GHz,"2,254",3084,37.59,$59.95*
2567,Intel Core i5-6500 @ 3.20GHz,"5,612",1966,86.34,$65.00
2568,Intel Core i5-6500T @ 2.50GHz,"4,756",2138,63.41,$75.00
2569,Intel Core i5-6500TE @ 2.30GHz,"4,746",2141,9.69,$489.95*
2570,Intel Core i5-655K @ 3.20GHz,"2,017",3229,26.24,$76.87*
2571,Intel Core i5-660 @ 3.33GHz,"2,420",2984,16.14,$149.95
2572,Intel Core i5-6600 @ 3.30GHz,"6,058",1877,NA,NA
2573,Intel Core i5-6600K @ 3.50GHz,"6,304",1824,54.82,$115.00
2574,Intel Core i5-6600T @ 2.70GHz,"5,577",1977,30.99,$179.95*
2575,Intel Core i5-661 @ 3.33GHz,"2,482",2941,31.02,$80.00*
2576,Intel Core i5-670 @ 3.47GHz,"2,533",2917,8.65,$292.82
2577,Intel Core i5-680 @ 3.60GHz,"2,658",2845,8.57,$310.17
2578,Intel Core i5-7200U @ 2.50GHz,"3,370",2523,6.75,$499.00*
2579,Intel Core i5-7260U @ 2.20GHz,"3,973",2319,8.45,$469.99*
2580,Intel Core i5-7267U @ 3.10GHz,"3,608",2439,NA,NA
2581,Intel Core i5-7287U @ 3.30GHz,"3,743",2397,NA,NA
2582,Intel Core i5-7300HQ @ 2.50GHz,"5,080",2091,NA,NA
2583,Intel Core i5-7300U @ 2.60GHz,"3,637",2429,5.80,$627.00*
2584,Intel Core i5-7360U @ 2.30GHz,"3,826",2361,NA,NA
2585,Intel Core i5-7400 @ 3.00GHz,"5,475",2006,NA,NA
2586,Intel Core i5-7400T @ 2.40GHz,"4,721",2147,73.13,$64.56*
2587,Intel Core i5-7440EQ @ 2.90GHz,"5,711",1938,22.84,$250.00*
2588,Intel Core i5-7440HQ @ 2.80GHz,"5,489",2003,NA,NA
2589,Intel Core i5-7442EQ @ 2.10GHz,"4,834",2130,19.34,$250.00*
2590,Intel Core i5-750 @ 2.67GHz,"2,535",2915,36.73,$69.00
2591,Intel Core i5-7500 @ 3.40GHz,"6,027",1883,81.45,$74.00
2592,Intel Core i5-7500T @ 2.70GHz,"5,201",2062,148.59,$35.00
2593,Intel Core i5-760 @ 2.80GHz,"2,656",2848,12.65,$210.00*
2594,Intel Core i5-7600 @ 3.50GHz,"6,550",1769,94.92,$69.00
2595,Intel Core i5-7600K @ 3.80GHz,"6,806",1727,42.83,$158.89
2596,Intel Core i5-7600T @ 2.80GHz,"5,875",1909,39.72,$147.91*
2597,Intel Core i5-760S @ 2.53GHz,"5,440",2013,NA,NA
2598,Intel Core i5-7640X @ 4.00GHz,"7,021",1690,49.21,$142.69
2599,Intel Core i5-7Y54 @ 1.20GHz,"2,619",2868,NA,NA
2600,Intel Core i5-7Y57 @ 1.20GHz,"2,588",2882,NA,NA
2601,Intel Core i5-8200Y @ 1.30GHz,"2,243",3095,7.71,$291.00*
2602,Intel Core i5-8210Y @ 1.60GHz,"2,739",2801,NA,NA
2603,Intel Core i5-8250U @ 1.60GHz,"5,816",1916,NA,NA
2604,Intel Core i5-8257U @ 1.40GHz,"7,438",1620,23.24,$320.00*
2605,Intel Core i5-8259U @ 2.30GHz,"7,844",1566,15.08,$519.99*
2606,Intel Core i5-8260U @ 1.60GHz,"7,398",1623,16.82,$439.99*
2607,Intel Core i5-8265U @ 1.60GHz,"5,860",1911,11.72,$499.88*
2608,Intel Core i5-8265UC @ 1.60GHz,"5,187",2067,NA,NA
2609,Intel Core i5-8269U @ 2.60GHz,"7,111",1674,22.22,$320.00*
2610,Intel Core i5-8279U @ 2.40GHz,"7,497",1610,23.43,$320.00*
2611,Intel Core i5-8300H @ 2.30GHz,"7,389",1626,29.56,$250.00*
2612,Intel Core i5-8305G @ 2.80GHz,"6,951",1704,NA,NA
2613,Intel Core i5-8350U @ 1.70GHz,"6,141",1854,20.68,$297.00*
2614,Intel Core i5-8365U @ 1.60GHz,"5,989",1889,11.11,$539.07*
2615,Intel Core i5-8365UE @ 1.60GHz,"5,694",1945,19.17,$297.00*
2616,Intel Core i5-8400 @ 2.80GHz,"9,225",1426,76.87,$120.00
2617,Intel Core i5-8400H @ 2.50GHz,"7,550",1605,30.20,$250.00*
2618,Intel Core i5-8400T @ 1.70GHz,"7,446",1617,65.68,$113.37*
2619,Intel Core i5-8500 @ 3.00GHz,"9,531",1392,107.09,$89.00
2620,Intel Core i5-8500B @ 3.00GHz,"8,906",1453,46.38,$192.00*
2621,Intel Core i5-8500T @ 2.10GHz,"7,724",1581,61.79,$125.00*
2622,Intel Core i5-8600 @ 3.10GHz,"9,951",1359,50.26,$198.00
2623,Intel Core i5-8600K @ 3.60GHz,"10,133",1346,63.33,$160.00
2624,Intel Core i5-8600T @ 2.30GHz,"9,260",1423,46.30,$199.99*
2625,Intel Core i5-9300H @ 2.40GHz,"7,479",1612,29.91,$250.00*
2626,Intel Core i5-9300HF @ 2.40GHz,"7,317",1637,29.27,$250.00*
2627,Intel Core i5-9400 @ 2.90GHz,"9,387",1406,63.00,$149.00
2628,Intel Core i5-9400F @ 2.90GHz,"9,456",1398,95.51,$99.00
2629,Intel Core i5-9400H @ 2.50GHz,"7,934",1556,31.74,$250.00*
2630,Intel Core i5-9400T @ 1.80GHz,"8,259",1512,45.38,$182.00*
2631,Intel Core i5-9500 @ 3.00GHz,"9,874",1364,78.78,$125.34
2632,Intel Core i5-9500E @ 3.00GHz,"7,598",1594,39.57,$192.00*
2633,Intel Core i5-9500F @ 3.00GHz,"9,958",1358,62.63,$159.00
2634,Intel Core i5-9500T @ 2.20GHz,"8,097",1532,42.17,$192.00*
2635,Intel Core i5-9500TE @ 2.20GHz,"9,791",1374,51.00,$192.00*
2636,Intel Core i5-9600 @ 3.10GHz,"10,288",1337,82.30,$125.00
2637,Intel Core i5-9600K @ 3.70GHz,"10,641",1311,96.74,$110.00
2638,Intel Core i5-9600KF @ 3.70GHz,"10,667",1309,82.05,$130.00
2639,Intel Core i5-9600T @ 2.30GHz,"9,643",1383,45.27,$213.00*
2640,Intel Core i5-L16G7 @ 1.40GHz,"3,306",2551,11.76,$281.00*
2641,Intel Core i7-10510U @ 1.80GHz,"6,487",1782,15.86,$409.00*
2642,Intel Core i7-10510Y @ 1.20GHz,"3,560",2449,8.83,$403.00*
2643,Intel Core i7-1060NG7 @ 1.20GHz,"6,546",1772,NA,NA
2644,Intel Core i7-10610U @ 1.80GHz,"6,610",1759,16.16,$409.00*
2645,Intel Core i7-1065G7 @ 1.30GHz,"8,206",1518,19.26,$426.00*
2646,Intel Core i7-1068NG7 @ 2.30GHz,"9,311",1417,21.86,$426.00*
2647,Intel Core i7-10700 @ 2.90GHz,"16,206",979,43.84,$369.69
2648,Intel Core i7-10700E @ 2.90GHz,"16,131",983,48.88,$330.00*
2649,Intel Core i7-10700F @ 2.90GHz,"16,277",974,73.99,$220.00
2650,Intel Core i7-10700K @ 3.80GHz,"18,637",849,58.24,$320.00
2651,Intel Core i7-10700KF @ 3.80GHz,"18,460",857,75.35,$245.00
2652,Intel Core i7-10700T @ 2.00GHz,"12,858",1175,47.80,$269.00
2653,Intel Core i7-10700TE @ 2.00GHz,"13,505",1129,40.92,$330.00*
2654,Intel Core i7-10710U @ 1.10GHz,"9,338",1413,14.48,$644.99*
2655,Intel Core i7-10750H @ 2.60GHz,"11,658",1248,NA,NA
2656,Intel Core i7-10810U @ 1.10GHz,"8,156",1525,18.41,$443.00*
2657,Intel Core i7-10850H @ 2.70GHz,"11,687",1245,29.59,$395.00*
2658,Intel Core i7-10870H @ 2.20GHz,"14,221",1091,34.10,$417.00*
2659,Intel Core i7-10875H @ 2.30GHz,"14,676",1051,32.61,$450.00*
2660,Intel Core i7-11370H @ 3.30GHz,"11,643",1250,27.33,$426.00*
2661,Intel Core i7-11375H @ 3.30GHz,"11,711",1244,24.30,$482.00*
2662,Intel Core i7-11390H @ 3.40GHz,"9,838",1370,23.09,$426.00*
2663,Intel Core i7-11600H @ 2.90GHz,"16,162",981,40.92,$395.00*
2664,Intel Core i7-1160G7 @ 1.20GHz,"9,051",1446,21.25,$426.00*
2665,Intel Core i7-1165G7 @ 2.80GHz,"10,004",1354,23.48,$426.00*
2666,Intel Core i7-11700 @ 2.50GHz,"20,695",741,69.21,$299.00
2667,Intel Core i7-11700B @ 3.20GHz,"22,184",666,NA,NA
2668,Intel Core i7-11700F @ 2.50GHz,"20,767",740,84.77,$244.99
2669,Intel Core i7-11700K @ 3.60GHz,"24,426",576,85.11,$287.00
2670,Intel Core i7-11700KF @ 3.60GHz,"23,821",597,85.69,$278.00
2671,Intel Core i7-11700T @ 1.40GHz,"15,495",1009,47.97,$323.00*
2672,Intel Core i7-11800H @ 2.30GHz,"20,080",779,50.84,$395.00*
2673,Intel Core i7-1180G7 @ 1.30GHz,"7,844",1565,18.41,$426.00*
2674,Intel Core i7-11850H @ 2.50GHz,"20,134",778,50.97,$395.00*
2675,Intel Core i7-11850HE @ 2.60GHz,"21,365",709,48.56,$440.00*
2676,Intel Core i7-1185G7 @ 3.00GHz,"10,173",1342,23.88,$426.00*
2677,Intel Core i7-1185G7E @ 2.80GHz,"9,911",1362,22.99,$431.00*
2678,Intel Core i7-1185GRE @ 2.80GHz,"8,046",1542,NA,NA
2679,Intel Core i7-1195G7 @ 2.90GHz,"10,559",1313,24.79,$426.00*
2680,Intel Core i7-1250U,"11,391",1265,26.74,$426.00*
2681,Intel Core i7-1255U,"13,284",1144,31.18,$426.00*
2682,Intel Core i7-1260P,"16,811",949,NA,NA
2683,Intel Core i7-1260U,"13,957",1103,NA,NA
2684,Intel Core i7-12650H,"22,058",674,48.27,$457.00*
2685,Intel Core i7-12650HX,"21,774",689,46.13,$472.00*
2686,Intel Core i7-1265U,"13,431",1133,31.53,$426.00*
2687,Intel Core i7-1265UE,"9,462",1397,20.05,$472.00*
2688,Intel Core i7-12700,"30,432",398,109.48,$277.97
2689,Intel Core i7-12700E,"27,857",472,46.43,$599.96*
2690,Intel Core i7-12700F,"30,474",396,129.68,$234.99
2691,Intel Core i7-12700H,"25,756",529,56.36,$457.00*
2692,Intel Core i7-12700K,"34,462",324,84.26,$409.00*
2693,Intel Core i7-12700KF,"34,124",332,189.59,$179.99
2694,Intel Core i7-12700T,"21,264",714,62.73,$339.00*
2695,Intel Core i7-12700TE,"19,507",801,56.71,$344.00*
2696,Intel Core i7-1270P,"17,018",940,NA,NA
2697,Intel Core i7-1270PE,"17,960",891,40.73,$441.00*
2698,Intel Core i7-12800H,"24,479",574,53.57,$457.00*
2699,Intel Core i7-12800HE,"26,753",503,52.87,$506.00*
2700,Intel Core i7-12800HX,"31,889",369,69.78,$457.00*
2701,Intel Core i7-1280P,"20,329",761,42.18,$482.00*
2702,Intel Core i7-12850HX,"30,832",390,72.04,$428.00*
2703,Intel Core i7-1355U,"14,359",1074,30.62,$469.00*
2704,Intel Core i7-1360P,"18,745",844,39.05,$480.00*
2705,Intel Core i7-13620H,"24,267",583,48.34,$502.00*
2706,Intel Core i7-13650HX,"30,802",391,63.51,$485.00*
2707,Intel Core i7-1365U,"14,214",1093,33.37,$426.00*
2708,Intel Core i7-1365UE,"10,019",1351,23.35,$429.00*
2709,Intel Core i7-1365URE,"10,545",1315,22.77,$463.00*
2710,Intel Core i7-13700,"36,496",304,114.07,$319.95
2711,Intel Core i7-13700E,"34,577",321,88.66,$390.00*
2712,Intel Core i7-13700F,"38,513",283,151.03,$255.00
2713,Intel Core i7-13700H,"26,454",512,52.70,$502.00*
2714,Intel Core i7-13700HX,"32,819",354,67.67,$485.00*
2715,Intel Core i7-13700K,"45,990",217,141.74,$324.46
2716,Intel Core i7-13700KF,"46,293",212,165.33,$280.00
2717,Intel Core i7-13700T,"27,888",471,72.63,$384.00*
2718,Intel Core i7-13700TE,"22,754",645,58.34,$390.00*
2719,Intel Core i7-13705H,"24,052",590,47.91,$502.00*
2720,Intel Core i7-1370P,"20,314",766,NA,NA
2721,Intel Core i7-1370PE,"21,920",678,49.71,$441.00*
2722,Intel Core i7-1370PRE,"18,420",861,38.62,$477.00*
2723,Intel Core i7-13790F,"46,309",211,NA,NA
2724,Intel Core i7-13800H,"26,651",507,58.32,$457.00*
2725,Intel Core i7-13800HRE,"13,400",1135,27.02,$496.00*
2726,Intel Core i7-13850HX,"37,175",299,86.86,$428.00*
2727,Intel Core i7-14650HX,"35,142",315,70.99,$495.00*
2728,Intel Core i7-14700,"41,673",253,133.02,$313.29
2729,Intel Core i7-14700F,"41,860",252,146.67,$285.41
2730,Intel Core i7-14700HX,"37,075",300,74.90,$495.00*
2731,Intel Core i7-14700K,"52,616",169,173.30,$303.61
2732,Intel Core i7-14700KF,"53,083",165,166.20,$319.40
2733,Intel Core i7-14700T,"30,372",399,79.09,$384.00*
2734,Intel Core i7-14701E,"25,995",525,66.31,$392.00*
2735,Intel Core i7-2600 @ 3.40GHz,"5,350",2032,28.20,$189.69
2736,Intel Core i7-2600K @ 3.40GHz,"5,483",2004,21.46,$255.55
2737,Intel Core i7-2600S @ 2.80GHz,"4,626",2167,46.27,$99.99*
2738,Intel Core i7-2610UE @ 1.50GHz,"1,527",3570,NA,NA
2739,Intel Core i7-2617M @ 1.50GHz,"1,687",3451,NA,NA
2740,Intel Core i7-2620M @ 2.70GHz,"2,425",2979,30.78,$78.77*
2741,Intel Core i7-2630QM @ 2.00GHz,"3,566",2447,18.77,$189.95*
2742,Intel Core i7-2630UM @ 1.60GHz,400,4717,NA,NA
2743,Intel Core i7-2635QM @ 2.00GHz,"3,521",2463,NA,NA
2744,Intel Core i7-2637M @ 1.70GHz,"1,909",3289,NA,NA
2745,Intel Core i7-2640M @ 2.80GHz,"2,456",2956,29.94,$82.02
2746,Intel Core i7-2655LE @ 2.20GHz,"1,999",3240,NA,NA
2747,Intel Core i7-2670QM @ 2.20GHz,"3,745",2394,48.00,$78.02*
2748,Intel Core i7-2675QM @ 2.20GHz,"3,913",2335,NA,NA
2749,Intel Core i7-2677M @ 1.80GHz,"1,889",3314,NA,NA
2750,Intel Core i7-2700K @ 3.50GHz,"5,735",1932,33.76,$169.88
2751,Intel Core i7-2710QE @ 2.10GHz,"3,749",2392,NA,NA
2752,Intel Core i7-2715QE @ 2.10GHz,"3,221",2595,NA,NA
2753,Intel Core i7-2720QM @ 2.20GHz,"4,023",2311,47.33,$85.00*
2754,Intel Core i7-2760QM @ 2.40GHz,"4,382",2221,35.92,$122.02*
2755,Intel Core i7-2820QM @ 2.30GHz,"4,386",2219,11.86,$369.95*
2756,Intel Core i7-2840QM @ 2.40GHz,"3,842",2356,NA,NA
2757,Intel Core i7-2860QM @ 2.50GHz,"4,587",2173,45.87,$100.00*
2758,Intel Core i7-2920XM @ 2.50GHz,"4,313",2235,35.94,$120.00*
2759,Intel Core i7-2960XM @ 2.70GHz,"4,698",2150,16.87,$278.52*
2760,Intel Core i7-3517U @ 1.90GHz,"2,118",3166,NA,NA
2761,Intel Core i7-3517UE @ 1.70GHz,"2,384",3001,NA,NA
2762,Intel Core i7-3520M @ 2.90GHz,"2,845",2755,23.32,$122.02*
2763,Intel Core i7-3537U @ 2.00GHz,"2,360",3018,NA,NA
2764,Intel Core i7-3540M @ 3.00GHz,"2,978",2696,27.57,$108.02*
2765,Intel Core i7-3555LE @ 2.50GHz,"2,238",3100,NA,NA
2766,Intel Core i7-3610QE @ 2.30GHz,"5,234",2055,NA,NA
2767,Intel Core i7-3610QM @ 2.30GHz,"5,109",2083,17.03,$299.95*
2768,Intel Core i7-3612QE @ 2.10GHz,"4,929",2113,NA,NA
2769,Intel Core i7-3612QM @ 2.10GHz,"4,645",2161,NA,NA
2770,Intel Core i7-3615QE @ 2.30GHz,"5,610",1967,NA,NA
2771,Intel Core i7-3615QM @ 2.30GHz,"5,167",2072,NA,NA
2772,Intel Core i7-3630QM @ 2.40GHz,"5,134",2076,22.33,$229.95*
2773,Intel Core i7-3632QM @ 2.20GHz,"4,745",2142,69.76,$68.02
2774,Intel Core i7-3635QM @ 2.40GHz,"4,756",2139,NA,NA
2775,Intel Core i7-3667U @ 2.00GHz,"2,442",2969,NA,NA
2776,Intel Core i7-3687U @ 2.10GHz,"2,655",2849,NA,NA
2777,Intel Core i7-3689Y @ 1.50GHz,"1,967",3256,NA,NA
2778,Intel Core i7-3720QM @ 2.60GHz,"5,610",1968,56.12,$99.95*
2779,Intel Core i7-3740QM @ 2.70GHz,"5,702",1940,26.71,$213.52
2780,Intel Core i7-3770 @ 3.40GHz,"6,416",1796,65.01,$98.69
2781,Intel Core i7-3770K @ 3.50GHz,"6,478",1785,33.36,$194.17
2782,Intel Core i7-3770S @ 3.10GHz,"6,194",1842,63.60,$97.38
2783,Intel Core i7-3770T @ 2.50GHz,"5,450",2012,34.81,$156.59*
2784,Intel Core i7-3820 @ 3.60GHz,"5,780",1920,16.52,$349.88
2785,Intel Core i7-3820QM @ 2.70GHz,"5,601",1971,10.20,$549.00*
2786,Intel Core i7-3840QM @ 2.80GHz,"5,894",1903,10.74,$548.87*
2787,Intel Core i7-3920XM @ 2.90GHz,"5,713",1937,5.21,"$1,096.00*"
2788,Intel Core i7-3930K @ 3.20GHz,"8,205",1519,13.28,$617.74*
2789,Intel Core i7-3940XM @ 3.00GHz,"5,912",1902,17.18,$344.04*
2790,Intel Core i7-3960X @ 3.30GHz,"8,431",1493,33.72,$250.00*
2791,Intel Core i7-3970X @ 3.50GHz,"8,595",1479,49.11,$175.00
2792,Intel Core i7-4500U @ 1.80GHz,"2,495",2935,NA,NA
2793,Intel Core i7-4510U @ 2.00GHz,"2,626",2865,NA,NA
2794,Intel Core i7-4550U @ 1.50GHz,"2,291",3055,NA,NA
2795,Intel Core i7-4558U @ 2.80GHz,"2,945",2711,NA,NA
2796,Intel Core i7-4560U @ 1.60GHz,"2,473",2943,NA,NA
2797,Intel Core i7-4578U @ 3.00GHz,"3,098",2645,NA,NA
2798,Intel Core i7-4600M @ 2.90GHz,"3,211",2599,NA,NA
2799,Intel Core i7-4600U @ 2.10GHz,"2,721",2809,NA,NA
2800,Intel Core i7-4610M @ 3.00GHz,"3,238",2584,NA,NA
2801,Intel Core i7-4610Y @ 1.70GHz,"2,446",2966,NA,NA
2802,Intel Core i7-4650U @ 1.70GHz,"2,461",2950,NA,NA
2803,Intel Core i7-4700EQ @ 2.40GHz,"5,417",2016,NA,NA
2804,Intel Core i7-4700HQ @ 2.40GHz,"5,621",1963,14.68,$383.00*
2805,Intel Core i7-4700MQ @ 2.40GHz,"5,355",2026,28.48,$188.02*
2806,Intel Core i7-4702HQ @ 2.20GHz,"5,350",2031,NA,NA
2807,Intel Core i7-4702MQ @ 2.20GHz,"5,193",2065,14.75,$352.05*
2808,Intel Core i7-4710HQ @ 2.50GHz,"5,534",1991,14.64,$378.00*
2809,Intel Core i7-4710MQ @ 2.50GHz,"5,764",1926,21.23,$271.57*
2810,Intel Core i7-4712HQ @ 2.30GHz,"5,352",2029,133.83,$39.99*
2811,Intel Core i7-4712MQ @ 2.30GHz,"5,311",2038,NA,NA
2812,Intel Core i7-4720HQ @ 2.60GHz,"5,724",1934,NA,NA
2813,Intel Core i7-4722HQ @ 2.40GHz,"5,768",1925,NA,NA
2814,Intel Core i7-4750HQ @ 2.00GHz,"5,684",1947,NA,NA
2815,Intel Core i7-4760HQ @ 2.10GHz,"6,300",1825,NA,NA
2816,Intel Core i7-4765T @ 2.00GHz,"5,071",2092,10.16,$498.95*
2817,Intel Core i7-4770 @ 3.40GHz,"7,055",1682,44.46,$158.69
2818,Intel Core i7-4770HQ @ 2.20GHz,"6,048",1880,NA,NA
2819,Intel Core i7-4770K @ 3.50GHz,"7,142",1670,23.63,$302.21*
2820,Intel Core i7-4770R @ 3.20GHz,"6,561",1764,NA,NA
2821,Intel Core i7-4770S @ 3.10GHz,"6,754",1737,68.22,$99.00
2822,Intel Core i7-4770T @ 2.50GHz,"5,856",1912,78.09,$74.99*
2823,Intel Core i7-4770TE @ 2.30GHz,"4,983",2106,NA,NA
2824,Intel Core i7-4771 @ 3.50GHz,"7,143",1669,27.75,$257.43*
2825,Intel Core i7-4785T @ 2.20GHz,"5,514",1995,NA,NA
2826,Intel Core i7-4790 @ 3.60GHz,"7,266",1650,84.80,$85.69
2827,Intel Core i7-4790K @ 4.00GHz,"8,062",1536,62.65,$128.69
2828,Intel Core i7-4790S @ 3.20GHz,"6,994",1699,35.20,$198.69
2829,Intel Core i7-4790T @ 2.70GHz,"6,280",1828,25.13,$249.88*
2830,Intel Core i7-4800MQ @ 2.70GHz,"5,777",1923,24.07,$239.99*
2831,Intel Core i7-4810MQ @ 2.80GHz,"6,070",1874,40.48,$149.95*
2832,Intel Core i7-4820K @ 3.70GHz,"6,502",1781,32.53,$199.88*
2833,Intel Core i7-4850HQ @ 2.30GHz,"6,128",1859,14.12,$434.00*
2834,Intel Core i7-4860EQ @ 1.80GHz,"5,500",1999,NA,NA
2835,Intel Core i7-4860HQ @ 2.40GHz,"6,198",1840,NA,NA
2836,Intel Core i7-4870HQ @ 2.50GHz,"6,307",1823,NA,NA
2837,Intel Core i7-4900MQ @ 2.80GHz,"6,148",1849,30.74,$200.00*
2838,Intel Core i7-4910MQ @ 2.90GHz,"6,259",1830,10.52,$594.94*
2839,Intel Core i7-4930K @ 3.40GHz,"9,398",1405,95.90,$98.00
2840,Intel Core i7-4930MX @ 3.00GHz,"6,457",1790,5.89,"$1,096.00*"
2841,Intel Core i7-4940MX @ 3.10GHz,"6,847",1721,9.78,$699.95*
2842,Intel Core i7-4960HQ @ 2.60GHz,"6,366",1808,10.22,$623.00*
2843,Intel Core i7-4960X @ 3.60GHz,"10,010",1353,NA,NA
2844,Intel Core i7-4980HQ @ 2.80GHz,"6,528",1776,NA,NA
2845,Intel Core i7-5500U @ 2.40GHz,"2,799",2771,NA,NA
2846,Intel Core i7-5550U @ 2.00GHz,"2,864",2750,NA,NA
2847,Intel Core i7-5557U @ 3.10GHz,"3,159",2617,5.21,$605.99*
2848,Intel Core i7-5600U @ 2.60GHz,"3,016",2677,NA,NA
2849,Intel Core i7-5650U @ 2.20GHz,"2,998",2686,NA,NA
2850,Intel Core i7-5675C @ 3.10GHz,"6,089",1864,NA,NA
2851,Intel Core i7-5700EQ @ 2.60GHz,"5,803",1918,NA,NA
2852,Intel Core i7-5700HQ @ 2.70GHz,"6,019",1885,NA,NA
2853,Intel Core i7-5775C @ 3.30GHz,"7,753",1576,44.34,$174.85*
2854,Intel Core i7-5775R @ 3.30GHz,"7,580",1598,NA,NA
2855,Intel Core i7-5820K @ 3.30GHz,"9,831",1372,62.22,$158.02*
2856,Intel Core i7-5850EQ @ 2.70GHz,"7,036",1687,16.17,$435.00*
2857,Intel Core i7-5850HQ @ 2.70GHz,"6,866",1717,15.82,$434.00*
2858,Intel Core i7-5930K @ 3.50GHz,"10,359",1329,46.58,$222.37*
2859,Intel Core i7-5950HQ @ 2.90GHz,"7,700",1582,NA,NA
2860,Intel Core i7-5960X @ 3.00GHz,"13,513",1127,NA,NA
2861,Intel Core i7-610E @ 2.53GHz,"2,071",3193,NA,NA
2862,Intel Core i7-620LM @ 2.00GHz,"1,406",3654,NA,NA
2863,Intel Core i7-620M @ 2.67GHz,"1,972",3252,11.60,$169.95
2864,Intel Core i7-620UM @ 1.07GHz,"1,091",3929,NA,NA
2865,Intel Core i7-640LM @ 2.13GHz,"1,528",3568,NA,NA
2866,Intel Core i7-640M @ 2.80GHz,"2,086",3188,14.70,$141.85*
2867,Intel Core i7-640UM @ 1.20GHz,"1,168",3858,NA,NA
